,Arene_name,Arene_smi,Radical_name,Radical_smi,Product_name,Product_smi,rxn,Output,React_sites_Ar_R,Prod_sites,Divider,Ar_n,SMILES_Ar,Radical_n,SMILES_R,ArR_n,SMILES_ArR,R_Ar_n,DG_TS
4330,Arene_150,N#Cc1[nH+]cco1,Radical_4,[CH3],Product-Ar150-R4-P4233,Cc1coc(C#N)[nH+]1,N#Cc1[nH+]cco1.[CH3]>>Cc1coc(C#N)[nH+]1,15.2,"((4,), (0,))","((1,), (0,))",,HFc2c,N#Cc1[nH+]cco1,CH3, [CH3],CH3-HFc2c-4, N#Cc1[nH+]c(C)co1,CH3-HFc2c,15.2
4331,Arene_150,N#Cc1[nH+]cco1,Radical_4,[CH3],Product-Ar150-R4-P4234,Cc1c[nH+]c(C#N)o1,N#Cc1[nH+]cco1.[CH3]>>Cc1c[nH+]c(C#N)o1,10.1,"((5,), (0,))","((1,), (0,))",,HFc2c,N#Cc1[nH+]cco1,CH3, [CH3],CH3-HFc2c-5, N#Cc1[nH+]cc(C)o1,CH3-HFc2c,10.1
4332,Arene_151,COc1[nH+]cco1,Radical_4,[CH3],Product-Ar151-R4-P4235,COc1[nH+]c(C)co1,COc1[nH+]cco1.[CH3]>>COc1[nH+]c(C)co1,15.4,"((4,), (0,))","((4,), (0,))",,HFc2d,COc1[nH+]cco1,CH3, [CH3],CH3-HFc2d-4, COc1[nH+]c(C)co1,CH3-HFc2d,15.4
4333,Arene_151,COc1[nH+]cco1,Radical_4,[CH3],Product-Ar151-R4-P4236,COc1[nH+]cc(C)o1,COc1[nH+]cco1.[CH3]>>COc1[nH+]cc(C)o1,13,"((5,), (0,))","((5,), (0,))",,HFc2d,COc1[nH+]cco1,CH3, [CH3],CH3-HFc2d-5, COc1[nH+]cc(C)o1,CH3-HFc2d,13
4334,Arene_152,N#Cc1coc[nH+]1,Radical_4,[CH3],Product-Ar152-R4-P4237,Cc1[nH+]c(C#N)co1,N#Cc1coc[nH+]1.[CH3]>>Cc1[nH+]c(C#N)co1,6.5,"((5,), (0,))","((1,), (0,))",,HFc4c,N#Cc1coc[nH+]1,CH3, [CH3],CH3-HFc4c-2, N#Cc1coc(C)[nH+]1,CH3-HFc4c,6.5
4335,Arene_152,N#Cc1coc[nH+]1,Radical_4,[CH3],Product-Ar152-R4-P4238,Cc1oc[nH+]c1C#N,N#Cc1coc[nH+]1.[CH3]>>Cc1oc[nH+]c1C#N,8.6,"((3,), (0,))","((1,), (0,))",,HFc4c,N#Cc1coc[nH+]1,CH3, [CH3],CH3-HFc4c-5, N#Cc1[nH+]coc1C,CH3-HFc4c,8.6
4336,Arene_153,COc1coc[nH+]1,Radical_4,[CH3],Product-Ar153-R4-P4239,COc1coc(C)[nH+]1,COc1coc[nH+]1.[CH3]>>COc1coc(C)[nH+]1,6.8,"((5,), (0,))","((5,), (0,))",,HFc4d,COc1coc[nH+]1,CH3, [CH3],CH3-HFc4d-2, COc1coc(C)[nH+]1,CH3-HFc4d,6.8
4337,Arene_153,COc1coc[nH+]1,Radical_4,[CH3],Product-Ar153-R4-P4240,COc1[nH+]coc1C,COc1coc[nH+]1.[CH3]>>COc1[nH+]coc1C,9.6,"((3,), (0,))","((6,), (0,))",,HFc4d,COc1coc[nH+]1,CH3, [CH3],CH3-HFc4d-5, COc1[nH+]coc1C,CH3-HFc4d,9.6
4338,Arene_154,N#Cc1c[nH+]co1,Radical_4,[CH3],Product-Ar154-R4-P4241,Cc1[nH+]cc(C#N)o1,N#Cc1c[nH+]co1.[CH3]>>Cc1[nH+]cc(C#N)o1,6,"((5,), (0,))","((1,), (0,))",,HFc5c,N#Cc1c[nH+]co1,CH3, [CH3],CH3-HFc5c-2, N#Cc1c[nH+]c(C)o1,CH3-HFc5c,6
4339,Arene_154,N#Cc1c[nH+]co1,Radical_4,[CH3],Product-Ar154-R4-P4242,Cc1[nH+]coc1C#N,N#Cc1c[nH+]co1.[CH3]>>Cc1[nH+]coc1C#N,11,"((3,), (0,))","((1,), (0,))",,HFc5c,N#Cc1c[nH+]co1,CH3, [CH3],CH3-HFc5c-4, N#Cc1oc[nH+]c1C,CH3-HFc5c,11
4340,Arene_155,COc1c[nH+]co1,Radical_4,[CH3],Product-Ar155-R4-P4243,COc1c[nH+]c(C)o1,COc1c[nH+]co1.[CH3]>>COc1c[nH+]c(C)o1,7,"((5,), (0,))","((5,), (0,))",,HFc5d,COc1c[nH+]co1,CH3, [CH3],CH3-HFc5d-2, COc1c[nH+]c(C)o1,CH3-HFc5d,7
4341,Arene_155,COc1c[nH+]co1,Radical_4,[CH3],Product-Ar155-R4-P4244,COc1oc[nH+]c1C,COc1c[nH+]co1.[CH3]>>COc1oc[nH+]c1C,17.9,"((3,), (0,))","((6,), (0,))",,HFc5d,COc1c[nH+]co1,CH3, [CH3],CH3-HFc5d-4, COc1oc[nH+]c1C,CH3-HFc5d,17.9
4342,Arene_150,N#Cc1[nH+]cco1,Radical_5,[CH2]F,Product-Ar150-R5-P4245,N#Cc1[nH+]c(CF)co1,N#Cc1[nH+]cco1.[CH2]F>>N#Cc1[nH+]c(CF)co1,17,"((4,), (0,))","((4,), (5,))",,HFc2c,N#Cc1[nH+]cco1,CHF, [CH2]F,CHF-HFc2c-4, N#Cc1[nH+]c(CF)co1,CHF-HFc2c,17
4343,Arene_150,N#Cc1[nH+]cco1,Radical_5,[CH2]F,Product-Ar150-R5-P4246,N#Cc1[nH+]cc(CF)o1,N#Cc1[nH+]cco1.[CH2]F>>N#Cc1[nH+]cc(CF)o1,11,"((5,), (0,))","((5,), (6,))",,HFc2c,N#Cc1[nH+]cco1,CHF, [CH2]F,CHF-HFc2c-5, N#Cc1[nH+]cc(CF)o1,CHF-HFc2c,11
4344,Arene_151,COc1[nH+]cco1,Radical_5,[CH2]F,Product-Ar151-R5-P4247,COc1[nH+]c(CF)co1,COc1[nH+]cco1.[CH2]F>>COc1[nH+]c(CF)co1,16.8,"((4,), (0,))","((4,), (5,))",,HFc2d,COc1[nH+]cco1,CHF, [CH2]F,CHF-HFc2d-4, COc1[nH+]c(CF)co1,CHF-HFc2d,16.8
4345,Arene_151,COc1[nH+]cco1,Radical_5,[CH2]F,Product-Ar151-R5-P4248,COc1[nH+]cc(CF)o1,COc1[nH+]cco1.[CH2]F>>COc1[nH+]cc(CF)o1,13.3,"((5,), (0,))","((5,), (6,))",,HFc2d,COc1[nH+]cco1,CHF, [CH2]F,CHF-HFc2d-5, COc1[nH+]cc(CF)o1,CHF-HFc2d,13.3
4346,Arene_152,N#Cc1coc[nH+]1,Radical_5,[CH2]F,Product-Ar152-R5-P4249,N#Cc1coc(CF)[nH+]1,N#Cc1coc[nH+]1.[CH2]F>>N#Cc1coc(CF)[nH+]1,8,"((5,), (0,))","((5,), (6,))",,HFc4c,N#Cc1coc[nH+]1,CHF, [CH2]F,CHF-HFc4c-2, N#Cc1coc(CF)[nH+]1,CHF-HFc4c,8
4347,Arene_152,N#Cc1coc[nH+]1,Radical_5,[CH2]F,Product-Ar152-R5-P4250,N#Cc1[nH+]coc1CF,N#Cc1coc[nH+]1.[CH2]F>>N#Cc1[nH+]coc1CF,9.4,"((3,), (0,))","((6,), (7,))",,HFc4c,N#Cc1coc[nH+]1,CHF, [CH2]F,CHF-HFc4c-5, N#Cc1[nH+]coc1CF,CHF-HFc4c,9.4
4348,Arene_153,COc1coc[nH+]1,Radical_5,[CH2]F,Product-Ar153-R5-P4251,COc1coc(CF)[nH+]1,COc1coc[nH+]1.[CH2]F>>COc1coc(CF)[nH+]1,8.3,"((5,), (0,))","((5,), (6,))",,HFc4d,COc1coc[nH+]1,CHF, [CH2]F,CHF-HFc4d-2, COc1coc(CF)[nH+]1,CHF-HFc4d,8.3
4349,Arene_153,COc1coc[nH+]1,Radical_5,[CH2]F,Product-Ar153-R5-P4252,COc1[nH+]coc1CF,COc1coc[nH+]1.[CH2]F>>COc1[nH+]coc1CF,11.2,"((3,), (0,))","((6,), (7,))",,HFc4d,COc1coc[nH+]1,CHF, [CH2]F,CHF-HFc4d-5, COc1[nH+]coc1CF,CHF-HFc4d,11.2
4350,Arene_154,N#Cc1c[nH+]co1,Radical_5,[CH2]F,Product-Ar154-R5-P4253,N#Cc1c[nH+]c(CF)o1,N#Cc1c[nH+]co1.[CH2]F>>N#Cc1c[nH+]c(CF)o1,7.5,"((5,), (0,))","((5,), (6,))",,HFc5c,N#Cc1c[nH+]co1,CHF, [CH2]F,CHF-HFc5c-2, N#Cc1c[nH+]c(CF)o1,CHF-HFc5c,7.5
4351,Arene_154,N#Cc1c[nH+]co1,Radical_5,[CH2]F,Product-Ar154-R5-P4254,N#Cc1oc[nH+]c1CF,N#Cc1c[nH+]co1.[CH2]F>>N#Cc1oc[nH+]c1CF,12.8,"((3,), (0,))","((6,), (7,))",,HFc5c,N#Cc1c[nH+]co1,CHF, [CH2]F,CHF-HFc5c-4, N#Cc1oc[nH+]c1CF,CHF-HFc5c,12.8
4352,Arene_155,COc1c[nH+]co1,Radical_5,[CH2]F,Product-Ar155-R5-P4255,COc1c[nH+]c(CF)o1,COc1c[nH+]co1.[CH2]F>>COc1c[nH+]c(CF)o1,8,"((5,), (0,))","((5,), (6,))",,HFc5d,COc1c[nH+]co1,CHF, [CH2]F,CHF-HFc5d-2, COc1c[nH+]c(CF)o1,CHF-HFc5d,8
4353,Arene_155,COc1c[nH+]co1,Radical_5,[CH2]F,Product-Ar155-R5-P4256,COc1oc[nH+]c1CF,COc1c[nH+]co1.[CH2]F>>COc1oc[nH+]c1CF,19.5,"((3,), (0,))","((6,), (7,))",,HFc5d,COc1c[nH+]co1,CHF, [CH2]F,CHF-HFc5d-4, COc1oc[nH+]c1CF,CHF-HFc5d,19.5
4354,Arene_150,N#Cc1[nH+]cco1,Radical_6,[CH2]C,Product-Ar150-R6-P4257,CCc1coc(C#N)[nH+]1,N#Cc1[nH+]cco1.[CH2]C>>CCc1coc(C#N)[nH+]1,16.1,"((4,), (0,))","((2,), (1,))",,HFc2c,N#Cc1[nH+]cco1,Et0, [CH2]C,Et0-HFc2c-4, N#Cc1[nH+]c(CC)co1,Et0-HFc2c,16.1
4355,Arene_150,N#Cc1[nH+]cco1,Radical_6,[CH2]C,Product-Ar150-R6-P4258,CCc1c[nH+]c(C#N)o1,N#Cc1[nH+]cco1.[CH2]C>>CCc1c[nH+]c(C#N)o1,10.4,"((5,), (0,))","((2,), (1,))",,HFc2c,N#Cc1[nH+]cco1,Et0, [CH2]C,Et0-HFc2c-5, N#Cc1[nH+]cc(CC)o1,Et0-HFc2c,10.4
4356,Arene_151,COc1[nH+]cco1,Radical_6,[CH2]C,Product-Ar151-R6-P4259,CCc1coc(OC)[nH+]1,COc1[nH+]cco1.[CH2]C>>CCc1coc(OC)[nH+]1,16.6,"((4,), (0,))","((2,), (1,))",,HFc2d,COc1[nH+]cco1,Et0, [CH2]C,Et0-HFc2d-4, COc1[nH+]c(CC)co1,Et0-HFc2d,16.6
4357,Arene_151,COc1[nH+]cco1,Radical_6,[CH2]C,Product-Ar151-R6-P4260,CCc1c[nH+]c(OC)o1,COc1[nH+]cco1.[CH2]C>>CCc1c[nH+]c(OC)o1,14.2,"((5,), (0,))","((2,), (1,))",,HFc2d,COc1[nH+]cco1,Et0, [CH2]C,Et0-HFc2d-5, COc1[nH+]cc(CC)o1,Et0-HFc2d,14.2
4358,Arene_152,N#Cc1coc[nH+]1,Radical_6,[CH2]C,Product-Ar152-R6-P4261,CCc1oc[nH+]c1C#N,N#Cc1coc[nH+]1.[CH2]C>>CCc1oc[nH+]c1C#N,8.2,"((3,), (0,))","((2,), (1,))",,HFc4c,N#Cc1coc[nH+]1,Et0, [CH2]C,Et0-HFc4c-5, N#Cc1[nH+]coc1CC,Et0-HFc4c,8.2
4359,Arene_153,COc1coc[nH+]1,Radical_6,[CH2]C,Product-Ar153-R6-P4262,CCc1[nH+]c(OC)co1,COc1coc[nH+]1.[CH2]C>>CCc1[nH+]c(OC)co1,4.8,"((5,), (0,))","((2,), (1,))",,HFc4d,COc1coc[nH+]1,Et0, [CH2]C,Et0-HFc4d-2, COc1coc(CC)[nH+]1,Et0-HFc4d,4.8
4360,Arene_153,COc1coc[nH+]1,Radical_6,[CH2]C,Product-Ar153-R6-P4263,CCc1oc[nH+]c1OC,COc1coc[nH+]1.[CH2]C>>CCc1oc[nH+]c1OC,11.3,"((3,), (0,))","((2,), (1,))",,HFc4d,COc1coc[nH+]1,Et0, [CH2]C,Et0-HFc4d-5, COc1[nH+]coc1CC,Et0-HFc4d,11.3
4361,Arene_154,N#Cc1c[nH+]co1,Radical_6,[CH2]C,Product-Ar154-R6-P4264,CCc1[nH+]coc1C#N,N#Cc1c[nH+]co1.[CH2]C>>CCc1[nH+]coc1C#N,10.8,"((3,), (0,))","((2,), (1,))",,HFc5c,N#Cc1c[nH+]co1,Et0, [CH2]C,Et0-HFc5c-4, N#Cc1oc[nH+]c1CC,Et0-HFc5c,10.8
4362,Arene_155,COc1c[nH+]co1,Radical_6,[CH2]C,Product-Ar155-R6-P4265,CCc1[nH+]cc(OC)o1,COc1c[nH+]co1.[CH2]C>>CCc1[nH+]cc(OC)o1,6.8,"((5,), (0,))","((2,), (1,))",,HFc5d,COc1c[nH+]co1,Et0, [CH2]C,Et0-HFc5d-2, COc1c[nH+]c(CC)o1,Et0-HFc5d,6.8
4363,Arene_155,COc1c[nH+]co1,Radical_6,[CH2]C,Product-Ar155-R6-P4266,CCc1[nH+]coc1OC,COc1c[nH+]co1.[CH2]C>>CCc1[nH+]coc1OC,19.8,"((3,), (0,))","((2,), (1,))",,HFc5d,COc1c[nH+]co1,Et0, [CH2]C,Et0-HFc5d-4, COc1oc[nH+]c1CC,Et0-HFc5d,19.8
4364,Arene_150,N#Cc1[nH+]cco1,Radical_11,C[CH]C,Product-Ar150-R11-P4267,CC(C)c1coc(C#N)[nH+]1,N#Cc1[nH+]cco1.C[CH]C>>CC(C)c1coc(C#N)[nH+]1,15.8,"((4,), (1,))","((3,), (1,))",,HFc2c,N#Cc1[nH+]cco1,ipr, C[CH]C,ipr-HFc2c-4, N#Cc1[nH+]c(C(C)C)co1,ipr-HFc2c,15.8
4365,Arene_150,N#Cc1[nH+]cco1,Radical_11,C[CH]C,Product-Ar150-R11-P4268,CC(C)c1c[nH+]c(C#N)o1,N#Cc1[nH+]cco1.C[CH]C>>CC(C)c1c[nH+]c(C#N)o1,9.9,"((5,), (1,))","((3,), (1,))",,HFc2c,N#Cc1[nH+]cco1,ipr, C[CH]C,ipr-HFc2c-5, N#Cc1[nH+]cc(C(C)C)o1,ipr-HFc2c,9.9
